user_id,parfum_id,parfum_name,brand,user_gender_pref,user_aroma_pref,user_time_pref,user_occasion_pref,parfum_gender_target,parfum_wangi_vibe,parfum_waktu_penggunaan,parfum_occasion,match_score,rating
USER_001,f0f09ddc-3a78-4b4c-87cb-db643ced3d4b,,Lamoza,Pria,Floral,Siang,Kerja,Wanita,,Seharian,Date / Romantic,0,3
USER_001,13dcf419-1e6b-4348-8461-12bd5591a0a7,,Kahf,Pria,Floral,Siang,Kerja,Pria,,Pagi / Siang,Party / Night,2,3
USER_001,38610243-e2bd-43b8-b6c0-81fb602c4367,,Perfume,Pria,Floral,Siang,Kerja,Pria,,Pagi / Siang,Sport / Outdoor,2,3
USER_001,c16d9e71-bfc7-4f81-94ba-d2f0b2543ab0,,Tidak Ada Brand,Pria,Floral,Siang,Kerja,Pria,,Pagi / Siang,Sport / Outdoor,2,3
USER_001,2b4d0226-696d-41ad-878a-5709aec607a5,,Tidak Ada Brand,Pria,Floral,Siang,Kerja,Pria,,Pagi / Siang,Office / Formal,2,3
USER_001,3747771c-fb3a-4401-8f01-bc5429de2c2f,,Mykonos,Pria,Floral,Siang,Kerja,Pria,,Pagi / Siang,Office / Formal,2,4
USER_001,8accc598-c9b5-40d6-8d0a-3280aa74897c,,Tidak Ada Brand,Pria,Floral,Siang,Kerja,Pria,,Pagi / Siang,Sport / Outdoor,2,3
USER_001,f234ba8e-be6c-4c9f-a90c-69d6374516b4,,Tidak Ada Brand,Pria,Floral,Siang,Kerja,Pria,,Pagi / Siang,Sport / Outdoor,2,3
USER_001,1b77d9ef-00bf-4e1d-bca6-2d692c284d2d,,Mykonos,Pria,Floral,Siang,Kerja,Unisex,,Pagi / Siang,Sport / Outdoor,1,3
USER_001,a89d7236-1e49-4a5b-9861-91b1cb9f5d55,,TUDAY,Pria,Floral,Siang,Kerja,Pria,,Pagi / Siang,Casual / Daily,2,4
USER_001,9393d040-8977-403d-9523-33bc4300c619,,Mykonos,Pria,Floral,Siang,Kerja,Pria,,Pagi / Siang,Sport / Outdoor,2,3
USER_001,468454a2-536a-43fc-85d7-de5b67860fc6,,Saff & Co,Pria,Floral,Siang,Kerja,Pria,,Pagi / Siang,Sport / Outdoor,2,3
USER_001,a2c285e7-9e7d-4619-a6ae-20f787ea3217,,Kahf,Pria,Floral,Siang,Kerja,Pria,,Pagi / Siang,Sport / Outdoor,2,3
USER_001,a29f9b2e-3982-41e7-ac7d-4b68639e6d0b,,Saff & Co,Pria,Floral,Siang,Kerja,Pria,,Pagi / Siang,Sport / Outdoor,2,3
USER_001,a1857eeb-346e-4238-9df6-f839f38a1c51,,DIOR,Pria,Floral,Siang,Kerja,Pria,,Pagi / Siang,Office / Formal,2,3
USER_001,a1d5f27f-4bef-4343-a7ee-9ca1b7274066,,DIOR,Pria,Floral,Siang,Kerja,Pria,,Pagi / Siang,Office / Formal,2,3
USER_001,e04669f9-14c7-4dca-a663-778da57d0570,,Lovillea,Pria,Floral,Siang,Kerja,Wanita,,Pagi / Siang,Sport / Outdoor,1,2
USER_001,a791057a-049e-46ec-bdb5-23c692f10ba4,,Scandalove,Pria,Floral,Siang,Kerja,Pria,,Pagi / Siang,Date / Romantic,2,3
USER_001,a14f9bca-aaf7-468f-8183-84e3cb650a6e,,Tidak Ada Brand,Pria,Floral,Siang,Kerja,Pria,,Malam,Date / Romantic,1,3
USER_001,6f86d112-880a-46a9-963e-eca3e309d32e,,Kahf,Pria,Floral,Siang,Kerja,Pria,,Pagi / Siang,Sport / Outdoor,2,4
USER_002,a1857eeb-346e-4238-9df6-f839f38a1c51,,DIOR,Pria,Floral,Pagi,Formal,Pria,,Pagi / Siang,Office / Formal,3,4
USER_002,9f9d7bc4-f51c-478c-b5df-8866e8ee120d,,DIOR,Pria,Floral,Pagi,Formal,Pria,,Malam,Office / Formal,2,3
USER_002,1df42d2e-e1ba-48de-b2f1-7c82eadb0f12,,Mandalika,Pria,Floral,Pagi,Formal,Unisex,Elegant Luxury,Siang / Malam,Office / Formal,1,1
USER_002,814c4069-ee88-493d-8a0f-883c4cf91af9,,DIOR,Pria,Floral,Pagi,Formal,Pria,,Pagi / Siang,Office / Formal,3,5
USER_002,2b4d0226-696d-41ad-878a-5709aec607a5,,Tidak Ada Brand,Pria,Floral,Pagi,Formal,Pria,,Pagi / Siang,Office / Formal,3,4
USER_002,532fe62b-5aec-4244-9e8f-94e3a64240e4,,DIOR,Pria,Floral,Pagi,Formal,Pria,,Pagi / Siang,Office / Formal,3,5
USER_002,3747771c-fb3a-4401-8f01-bc5429de2c2f,,Mykonos,Pria,Floral,Pagi,Formal,Pria,,Pagi / Siang,Office / Formal,3,5
USER_002,4bfd9519-2d2e-4649-9458-abc97abbe019,,Mykonos,Pria,Floral,Pagi,Formal,Pria,,Pagi / Siang,Sport / Outdoor,2,4
USER_002,68eb81c9-21da-4662-9753-7eea0c35cfa0,,Tidak Ada Brand,Pria,Floral,Pagi,Formal,Pria,,Pagi / Siang,Sport / Outdoor,2,3
USER_002,2f534688-820a-4f40-b6e5-22db0b4c7e85,,HMNS,Pria,Floral,Pagi,Formal,Pria,,Pagi / Siang,Office / Formal,3,4
USER_002,ced5d5a1-76a8-47bc-8e29-5af25c6d572f,,DIOR,Pria,Floral,Pagi,Formal,Pria,,Pagi / Siang,Office / Formal,3,5
USER_002,08040f8e-f1a5-41d2-9cae-675d6cf9e254,,DIOR,Pria,Floral,Pagi,Formal,Pria,,Pagi / Siang,Office / Formal,3,5
USER_003,acfc4119-d3a9-4129-a882-f83061af2682,,Mandalika,Wanita,Spicy,Siang,Kencan,Wanita,Soft Feminine,Siang / Malam,Date / Romantic,2,4
USER_003,23565900-3aee-49f0-81d1-3136ca926cf8,,DIOR,Wanita,Spicy,Siang,Kencan,Wanita,,Pagi / Siang,Office / Formal,2,4
USER_003,169d43fe-7e7d-4f1d-bbe9-a41ea018a054,,Livi Scarlatte,Wanita,Spicy,Siang,Kencan,Wanita,,Pagi / Siang,Sport / Outdoor,2,4
USER_003,e5d4f16d-bbc6-4d37-acb4-8c93e0eae172,,Posh,Wanita,Spicy,Siang,Kencan,Wanita,,Pagi / Siang,Sport / Outdoor,2,4
USER_003,7e092bdc-f4de-4678-ad03-cf45f8a597c0,,Tidak Ada Brand,Wanita,Spicy,Siang,Kencan,Wanita,,Pagi / Siang,Sport / Outdoor,2,4
USER_003,c16d9e71-bfc7-4f81-94ba-d2f0b2543ab0,,Tidak Ada Brand,Wanita,Spicy,Siang,Kencan,Pria,,Pagi / Siang,Sport / Outdoor,1,1
USER_003,fe4a7cf9-bc51-4706-bd9a-f8833cf5fe56,,Tidak Ada Brand,Wanita,Spicy,Siang,Kencan,Wanita,,Pagi / Siang,Sport / Outdoor,2,3
USER_003,f16b0847-d7b5-4321-9c12-d526fd05e888,,Scarlett,Wanita,Spicy,Siang,Kencan,Wanita,,Pagi / Siang,Sport / Outdoor,2,3
USER_003,2a19d266-1979-403c-9cd3-f7a57ea43db5,,Scarlett,Wanita,Spicy,Siang,Kencan,Wanita,,Pagi / Siang,Sport / Outdoor,2,3
USER_003,9dc462ec-0105-44d0-b88e-d341bb8b14e6,,HMNS,Wanita,Spicy,Siang,Kencan,Wanita,Soft Feminine,Pagi / Siang,Casual / Daily,2,4
USER_003,2968d3d2-8820-454e-901c-5fdb5268ea5d,,Scarlett,Wanita,Spicy,Siang,Kencan,Wanita,,Pagi / Siang,Sport / Outdoor,2,3
USER_003,ff89d331-46f0-4770-a81f-0740bae89c17,,Scarlett,Wanita,Spicy,Siang,Kencan,Wanita,,Pagi / Siang,Sport / Outdoor,2,3
USER_004,23565900-3aee-49f0-81d1-3136ca926cf8,,DIOR,Wanita,Woody,Pagi,Formal,Wanita,,Pagi / Siang,Office / Formal,3,5
USER_004,a98c7796-627c-4171-b157-130a1d878d43,,DIOR,Wanita,Woody,Pagi,Formal,Wanita,,Pagi / Siang,Office / Formal,3,5
USER_004,949fde70-c3da-458e-999f-88f12a42263a,,DIOR,Wanita,Woody,Pagi,Formal,Wanita,,Pagi / Siang,Office / Formal,3,5
USER_004,d62a507c-c393-44a4-aab8-e04ecc8b0b42,,HMNS,Wanita,Woody,Pagi,Formal,Pria,,Malam,Date / Romantic,0,2
USER_004,36961e35-7bb1-4858-bd9b-f7fbbc8d0368,,HMNS,Wanita,Woody,Pagi,Formal,Pria,,Pagi / Siang,Date / Romantic,1,1
USER_004,f669d812-07b7-4de1-af2b-37a33123da25,,Tidak Ada Brand,Wanita,Woody,Pagi,Formal,Wanita,,Pagi / Siang,Sport / Outdoor,2,4
USER_004,8a1e577a-ca64-45d2-be1d-8816325d46dc,,HMNS,Wanita,Woody,Pagi,Formal,Pria,,Pagi / Siang,Office / Formal,2,3
USER_004,3861d0d9-aeeb-45ea-b67c-a50e90a13694,,Tidak Ada Brand,Wanita,Woody,Pagi,Formal,Wanita,,Pagi / Siang,Sport / Outdoor,2,3
USER_004,50d329f1-20ce-4655-979a-e8fbe71b40ac,,DIOR,Wanita,Woody,Pagi,Formal,Wanita,,Pagi / Siang,Office / Formal,3,5
USER_004,a51caa00-1108-4190-bba8-0c4a7cf8fe49,,Tidak Ada Brand,Wanita,Woody,Pagi,Formal,Wanita,,Pagi / Siang,Sport / Outdoor,2,3
USER_005,bcdbe136-391d-492b-ab3e-1a1387a8540f,,Tidak Ada Brand,Wanita,Woody,Pagi,Kencan,Wanita,,Malam,Date / Romantic,1,1
USER_005,163239c7-0d4a-431e-ac62-a5094cb241c4,,Tidak Ada Brand,Wanita,Woody,Pagi,Kencan,Wanita,,Pagi / Siang,Sport / Outdoor,2,3
USER_005,f669d812-07b7-4de1-af2b-37a33123da25,,Tidak Ada Brand,Wanita,Woody,Pagi,Kencan,Wanita,,Pagi / Siang,Sport / Outdoor,2,4
USER_005,50d329f1-20ce-4655-979a-e8fbe71b40ac,,DIOR,Wanita,Woody,Pagi,Kencan,Wanita,,Pagi / Siang,Office / Formal,2,3
USER_005,2a19d266-1979-403c-9cd3-f7a57ea43db5,,Scarlett,Wanita,Woody,Pagi,Kencan,Wanita,,Pagi / Siang,Sport / Outdoor,2,3
USER_005,8e9457eb-45e0-47f6-9b49-ba89cfda0a6e,,Scarlett,Wanita,Woody,Pagi,Kencan,Wanita,,Pagi / Siang,Sport / Outdoor,2,3
USER_005,93f98f82-433e-49a7-9b61-83d1fd4db482,,Mykonos,Wanita,Woody,Pagi,Kencan,Pria,,Pagi / Siang,Date / Romantic,1,1
USER_005,0b337a1a-9e70-4829-80b0-7b7164ea772d,,Scarlett,Wanita,Woody,Pagi,Kencan,Wanita,,Pagi / Siang,Sport / Outdoor,2,4
USER_005,ff89d331-46f0-4770-a81f-0740bae89c17,,Scarlett,Wanita,Woody,Pagi,Kencan,Wanita,,Pagi / Siang,Sport / Outdoor,2,3
USER_005,fe4a7cf9-bc51-4706-bd9a-f8833cf5fe56,,Tidak Ada Brand,Wanita,Woody,Pagi,Kencan,Wanita,,Pagi / Siang,Sport / Outdoor,2,3
USER_005,f16b0847-d7b5-4321-9c12-d526fd05e888,,Scarlett,Wanita,Woody,Pagi,Kencan,Wanita,,Pagi / Siang,Sport / Outdoor,2,3
USER_005,7e092bdc-f4de-4678-ad03-cf45f8a597c0,,Tidak Ada Brand,Wanita,Woody,Pagi,Kencan,Wanita,,Pagi / Siang,Sport / Outdoor,2,3
USER_005,a51caa00-1108-4190-bba8-0c4a7cf8fe49,,Tidak Ada Brand,Wanita,Woody,Pagi,Kencan,Wanita,,Pagi / Siang,Sport / Outdoor,2,3
USER_005,e04669f9-14c7-4dca-a663-778da57d0570,,Lovillea,Wanita,Woody,Pagi,Kencan,Wanita,,Pagi / Siang,Sport / Outdoor,2,3
