user_id,pref_gender,pref_aroma,pref_waktu,pref_kegiatan
USER_001,Pria,Floral,Siang,Kerja
USER_002,Pria,Floral,Pagi,Formal
USER_003,Wanita,Spicy,Siang,Kencan
USER_004,Wanita,Woody,Pagi,Formal
USER_005,Wanita,Woody,Pagi,Kencan
USER_006,Pria,Woody,Pagi,Santai
USER_007,Unisex,Fresh,Malam,Kencan
USER_008,Pria,Spicy,Pagi,Formal
USER_009,Wanita,Fresh,Pagi,Kencan
USER_010,Unisex,Fresh,Malam,Santai
USER_011,Wanita,Woody,Pagi,Kencan
USER_012,Pria,Spicy,Pagi,Santai
USER_013,Wanita,Fresh,Malam,Kencan
USER_014,Pria,Fresh,Siang,Formal
USER_015,Pria,Fresh,Malam,Santai
USER_016,Wanita,Woody,Siang,Formal
USER_017,Unisex,Fresh,Malam,Santai
USER_018,Unisex,Spicy,Malam,Formal
USER_019,Pria,Woody,Malam,Kencan
USER_020,Unisex,Fresh,Malam,Santai
USER_021,Unisex,Floral,Siang,Santai
USER_022,Wanita,Fresh,Malam,Kencan
USER_023,Unisex,Woody,Siang,Santai
USER_024,Wanita,Woody,Pagi,Santai
USER_025,Pria,Woody,Siang,Kerja
USER_026,Wanita,Woody,Siang,Kerja
USER_027,Wanita,Floral,Malam,Kerja
USER_028,Wanita,Spicy,Malam,Kencan
USER_029,Unisex,Woody,Pagi,Formal
USER_030,Pria,Sweet,Pagi,Kencan
USER_031,Pria,Sweet,Pagi,Formal
USER_032,Wanita,Woody,Pagi,Kencan
USER_033,Wanita,Floral,Siang,Formal
USER_034,Pria,Floral,Malam,Formal
USER_035,Pria,Fresh,Malam,Kerja
USER_036,Unisex,Woody,Pagi,Kerja
USER_037,Unisex,Spicy,Siang,Kerja
USER_038,Pria,Sweet,Siang,Formal
USER_039,Pria,Spicy,Siang,Formal
USER_040,Pria,Floral,Malam,Kerja
USER_041,Wanita,Floral,Pagi,Kencan
USER_042,Pria,Sweet,Siang,Santai
USER_043,Unisex,Spicy,Malam,Kencan
USER_044,Pria,Sweet,Siang,Santai
USER_045,Pria,Spicy,Malam,Kencan
USER_046,Unisex,Spicy,Malam,Formal
USER_047,Unisex,Sweet,Siang,Formal
USER_048,Pria,Floral,Malam,Formal
USER_049,Wanita,Sweet,Malam,Formal
USER_050,Unisex,Fresh,Siang,Kencan
USER_051,Pria,Floral,Malam,Santai
USER_052,Unisex,Woody,Pagi,Formal
USER_053,Unisex,Spicy,Siang,Santai
USER_054,Wanita,Spicy,Siang,Santai
USER_055,Pria,Fresh,Malam,Formal
USER_056,Pria,Fresh,Siang,Santai
USER_057,Pria,Sweet,Siang,Kencan
USER_058,Wanita,Spicy,Siang,Kencan
USER_059,Unisex,Woody,Siang,Kerja
USER_060,Unisex,Fresh,Siang,Kencan
USER_061,Unisex,Fresh,Malam,Kencan
USER_062,Pria,Floral,Pagi,Kerja
USER_063,Pria,Sweet,Pagi,Santai
USER_064,Wanita,Woody,Malam,Kerja
USER_065,Wanita,Sweet,Malam,Kerja
USER_066,Wanita,Sweet,Siang,Kencan
USER_067,Unisex,Sweet,Pagi,Kencan
USER_068,Wanita,Spicy,Malam,Kencan
USER_069,Unisex,Spicy,Siang,Santai
USER_070,Wanita,Spicy,Siang,Kencan
USER_071,Unisex,Floral,Siang,Kencan
USER_072,Pria,Spicy,Pagi,Kencan
USER_073,Unisex,Floral,Pagi,Kencan
USER_074,Pria,Floral,Siang,Kencan
USER_075,Pria,Sweet,Pagi,Kencan
USER_076,Pria,Sweet,Pagi,Formal
USER_077,Wanita,Floral,Pagi,Kencan
USER_078,Wanita,Woody,Malam,Santai
USER_079,Unisex,Woody,Malam,Santai
USER_080,Wanita,Woody,Siang,Formal
