user_id,parfum_id,parfum_name,brand,user_gender_pref,user_aroma_pref,user_time_pref,user_occasion_pref,parfum_gender_target,parfum_wangi_vibe,parfum_waktu_penggunaan,parfum_occasion,match_score,rating
USER_001,ac257c78-c876-472a-a2f0-bef6044a24f2,,Mykonos,Unisex,Floral,Malam,Santai,Unisex,,Malam,Office / Formal,2,3
USER_001,c01048c9-3794-45df-ad80-600f75d806e1,,PARFUM,Unisex,Floral,Malam,Santai,Pria,,,,0,2
USER_001,5494cc27-8db9-481e-a627-3397f70acd36,,JPG,Unisex,Floral,Malam,Santai,Pria,,,,0,2
USER_001,c7444ae7-b145-4df2-b526-40b912f47d78,,Saff & Co,Unisex,Floral,Malam,Santai,Unisex,,Malam,Party / Night,2,3
USER_001,e0b6e605-7c16-4436-8fcd-c31a28a97341,,Mykonos,Unisex,Floral,Malam,Santai,Unisex,,Malam,Party / Night,2,4
USER_001,a1874caf-16d1-41a7-a2f1-289d14026273,,Mykonos,Unisex,Floral,Malam,Santai,Pria,,Seharian,Date / Romantic,0,1
USER_001,705a7aff-1dcf-468c-8df2-061fe72f1551,,INSPIRED,Unisex,Floral,Malam,Santai,Unisex,,,,1,2
USER_001,cfecfabf-fab7-41cc-9289-346aba432aeb,,PROMO,Unisex,Floral,Malam,Santai,Pria,,Seharian,,0,1
USER_001,e5d56738-4e79-47ef-aefd-ace15c33f346,,HMNS,Unisex,Floral,Malam,Santai,Pria,,,,0,2
USER_002,e0b6e605-7c16-4436-8fcd-c31a28a97341,,Mykonos,Unisex,Fresh,Malam,Santai,Unisex,,Malam,Party / Night,2,4
USER_002,c7444ae7-b145-4df2-b526-40b912f47d78,,Saff & Co,Unisex,Fresh,Malam,Santai,Unisex,,Malam,Party / Night,2,3
USER_002,ac257c78-c876-472a-a2f0-bef6044a24f2,,Mykonos,Unisex,Fresh,Malam,Santai,Unisex,,Malam,Office / Formal,2,4
USER_002,01bdb725-3b61-4a78-a7d8-ecf59f1e776c,,Parfum,Unisex,Fresh,Malam,Santai,Unisex,,,,1,1
USER_002,1dfd7192-0f22-4343-931e-020d9d12326d,,Parfum,Unisex,Fresh,Malam,Santai,Unisex,,,,1,2
USER_003,3ed6b0a0-4e94-44e6-83b1-2c068aac232b,,Saff & Co,Unisex,Spicy,Siang,Kencan,Unisex,,Pagi / Siang,Sport / Outdoor,2,3
USER_003,90d66819-6966-462c-8d9c-3d474b7f733d,,LOVILLEA,Unisex,Spicy,Siang,Kencan,Unisex,,Pagi / Siang,,2,3
USER_003,d34b4176-7f78-422d-b9fc-a0e4ae366be3,,Saff & Co,Unisex,Spicy,Siang,Kencan,Unisex,,Pagi / Siang,Sport / Outdoor,2,4
USER_003,9553f16f-4d80-4d27-8e02-05fdb039927e,,Fresh,Unisex,Spicy,Siang,Kencan,Unisex,,Pagi / Siang,,2,3
USER_003,44c9b673-d207-495d-9d86-1478761da491,,Lovillea,Unisex,Spicy,Siang,Kencan,Unisex,,Pagi / Siang,,2,3
USER_003,82eb08f0-b91a-4985-bd7c-9587cf31bafa,,Saff & Co,Unisex,Spicy,Siang,Kencan,Unisex,,Pagi / Siang,Sport / Outdoor,2,4
USER_003,cb9166df-592d-48bd-a5fe-01a73ae3b9ec,,Mykonos,Unisex,Spicy,Siang,Kencan,Unisex,,Pagi / Siang,,2,4
USER_003,e4e0a445-d609-4e55-898c-e39f5d2a07d8,,Mykonos,Unisex,Spicy,Siang,Kencan,Unisex,,Pagi / Siang,,2,3
USER_003,9592f629-d0b2-4d65-bed9-13e05287c905,,Saff & Co,Unisex,Spicy,Siang,Kencan,Unisex,,Pagi / Siang,Sport / Outdoor,2,3
USER_003,0a296a2e-7a11-40dc-bfa8-fb50cbbf3bbc,,Saff & Co,Unisex,Spicy,Siang,Kencan,Unisex,,Pagi / Siang,,2,4
USER_003,fcfe3674-3471-420d-9b5e-b3e57a203c55,,Lovablue,Unisex,Spicy,Siang,Kencan,Unisex,,Pagi / Siang,,2,4
USER_003,85de20b4-dd29-44a8-9862-596d0c4b1221,,TERBARU,Unisex,Spicy,Siang,Kencan,Pria,,,,0,3
USER_003,4a48db01-bd16-428f-b6e6-3dafe754f535,,Mykonos,Unisex,Spicy,Siang,Kencan,Unisex,,Pagi / Siang,,2,4
USER_003,31ff12ea-0c15-4ff6-8fe2-14604a97a26b,,Bisa,Unisex,Spicy,Siang,Kencan,Pria,,,,0,1
USER_004,3ed6b0a0-4e94-44e6-83b1-2c068aac232b,,Saff & Co,Unisex,Fresh,Siang,Kencan,Unisex,,Pagi / Siang,Sport / Outdoor,2,3
USER_004,82eb08f0-b91a-4985-bd7c-9587cf31bafa,,Saff & Co,Unisex,Fresh,Siang,Kencan,Unisex,,Pagi / Siang,Sport / Outdoor,2,3
USER_004,2b0fd5e7-75d4-4bcd-ba5a-6aa5fa6e95fc,,Mykonos,Unisex,Fresh,Siang,Kencan,Unisex,,Pagi / Siang,Sport / Outdoor,2,3
USER_004,61f7cb28-d9e6-449d-a70e-8c202e4e0b3d,,Saff & Co,Unisex,Fresh,Siang,Kencan,Unisex,,Pagi / Siang,Sport / Outdoor,2,4
USER_004,8cfde50b-0ddc-442b-9062-127bc05918f5,,Saff & Co,Unisex,Fresh,Siang,Kencan,Unisex,,Pagi / Siang,,2,3
USER_004,78f2e851-640d-43d6-953e-a1efda709028,,Mykonos,Unisex,Fresh,Siang,Kencan,Unisex,,Pagi / Siang,Sport / Outdoor,2,3
USER_004,d34b4176-7f78-422d-b9fc-a0e4ae366be3,,Saff & Co,Unisex,Fresh,Siang,Kencan,Unisex,,Pagi / Siang,Sport / Outdoor,2,3
USER_004,9b645fd9-919a-46fc-9635-7a3f4b261e58,,Fres,Unisex,Fresh,Siang,Kencan,Unisex,,Pagi / Siang,,2,4
USER_004,1779fe58-e542-42bc-b930-2a426a0aa01a,,Saff & Co,Unisex,Fresh,Siang,Kencan,Unisex,,Pagi / Siang,Sport / Outdoor,2,3
USER_004,cb9166df-592d-48bd-a5fe-01a73ae3b9ec,,Mykonos,Unisex,Fresh,Siang,Kencan,Unisex,,Pagi / Siang,,2,3
USER_004,9592f629-d0b2-4d65-bed9-13e05287c905,,Saff & Co,Unisex,Fresh,Siang,Kencan,Unisex,,Pagi / Siang,Sport / Outdoor,2,3
USER_004,745ad61b-a19c-4459-93bb-8e6b7085f3c6,,parfume,Unisex,Fresh,Siang,Kencan,Unisex,,Pagi / Siang,,2,3
USER_004,b66ee6dc-f1b0-4fe7-89b8-16b80f1f6890,,PROMO,Unisex,Fresh,Siang,Kencan,Pria,,,,0,1
USER_004,9553f16f-4d80-4d27-8e02-05fdb039927e,,Fresh,Unisex,Fresh,Siang,Kencan,Unisex,,Pagi / Siang,,2,3
USER_004,b0f8fa31-2fb7-4e94-b6f6-4b51a6553f7f,,Fresh,Unisex,Fresh,Siang,Kencan,Unisex,,Pagi / Siang,,2,3
USER_004,f26455bf-ad65-484b-854c-e2baaaa94686,,Pure,Unisex,Fresh,Siang,Kencan,Unisex,,,,1,2
USER_004,fcfe3674-3471-420d-9b5e-b3e57a203c55,,Lovablue,Unisex,Fresh,Siang,Kencan,Unisex,,Pagi / Siang,,2,4
USER_004,a3eb2bef-e1f0-4196-a715-17e708e38bcd,,SCARLETT,Unisex,Fresh,Siang,Kencan,Pria,,,,0,2
USER_005,e37b6704-466b-44bb-9023-ed4d51b9f488,,Mykonos,Pria,Floral,Pagi,Santai,Pria,,Pagi / Siang,Sport / Outdoor,2,4
USER_005,d7010d21-a8e6-4914-8292-5ff6b2288ca1,,DIOR,Pria,Floral,Pagi,Santai,Pria,,Pagi / Siang,Office / Formal,2,3
USER_005,bb9682dc-a3b8-40e6-9818-1e80ee8fc40f,,HMNS,Pria,Floral,Pagi,Santai,Pria,,Pagi / Siang,Sport / Outdoor,2,4
USER_005,07e90971-0a39-40c5-94e3-6fbcf798da13,,Buy,Pria,Floral,Pagi,Santai,Pria,,,,1,1
USER_005,00ef3928-a341-456d-aa88-9f72e82a723f,,Saff & Co,Pria,Floral,Pagi,Santai,Pria,,Pagi / Siang,Sport / Outdoor,2,3
USER_005,62aac114-08aa-438a-b12e-10869eb158a8,,Mykonos,Pria,Floral,Pagi,Santai,Pria,,Pagi / Siang,Sport / Outdoor,2,3
USER_005,fe23e64b-ac96-4b36-8861-f2bbd9d7f681,,FYC,Pria,Floral,Pagi,Santai,Pria,,,,1,3
USER_005,cf0e9af3-011b-4778-bc84-bd870860dac8,,HMNS,Pria,Floral,Pagi,Santai,Pria,,Malam,,1,3
USER_005,89d1f97d-da8d-4e50-aa51-2bfd789bc9f6,,Kahf,Pria,Floral,Pagi,Santai,Pria,,Pagi / Siang,Sport / Outdoor,2,3
USER_005,a56b4a87-4221-44d6-b193-d000d82f75c7,,Mykonos,Pria,Floral,Pagi,Santai,Pria,,Pagi / Siang,Date / Romantic,2,3
USER_005,78f2e851-640d-43d6-953e-a1efda709028,,Mykonos,Pria,Floral,Pagi,Santai,Unisex,,Pagi / Siang,Sport / Outdoor,1,1
USER_005,6dda2c2f-7900-41c7-ad6f-2b731cfe360c,,Saff & Co,Pria,Floral,Pagi,Santai,Pria,,Pagi / Siang,,2,3
USER_005,35d50508-59fe-4b05-8042-9fac5bf4a753,,TUDAY,Pria,Floral,Pagi,Santai,Pria,,Pagi / Siang,,2,4
USER_005,1751d545-350f-44bd-8132-f0bbcfe569ec,,Mykonos,Pria,Floral,Pagi,Santai,Pria,,Pagi / Siang,Sport / Outdoor,2,3
USER_005,53cdd8ab-5c47-4c1a-86ac-c9878f216175,,FRES,Pria,Floral,Pagi,Santai,Unisex,,Pagi / Siang,,1,3
USER_005,b854dfc4-30ec-48bb-ae95-8efd6922167b,,Mykonos,Pria,Floral,Pagi,Santai,Pria,,Pagi / Siang,Date / Romantic,2,4
USER_005,fc2e6dec-25fd-4be9-8e52-dd6141722128,,Kahf,Pria,Floral,Pagi,Santai,Pria,,Pagi / Siang,Sport / Outdoor,2,3
USER_005,2d768bc8-2d1a-4a9a-9b41-b27ad1b9b56b,,HMNS,Pria,Floral,Pagi,Santai,Pria,,Pagi / Siang,Sport / Outdoor,2,4
USER_005,af0b799e-c93b-47ff-beb7-9f73065c0a48,,Mykonos,Pria,Floral,Pagi,Santai,Pria,,Pagi / Siang,Sport / Outdoor,2,3
USER_005,5ad9e74b-b20b-4eac-8f38-18d1870ee581,,Kahf,Pria,Floral,Pagi,Santai,Pria,,Pagi / Siang,Sport / Outdoor,2,3
USER_005,6e64722a-1fee-4ad1-888b-3f527e1add19,,Mykonos,Pria,Floral,Pagi,Santai,Pria,,Pagi / Siang,Date / Romantic,2,4
USER_005,ac5c3157-2701-480e-ad90-dcbdba23cd8f,,Saff & Co,Pria,Floral,Pagi,Santai,Pria,,Pagi / Siang,Sport / Outdoor,2,3
USER_005,bd6cfd92-32a1-4c42-bad7-41adf57004a7,,Parfum,Pria,Floral,Pagi,Santai,Unisex,,,,0,1
USER_005,40792582-9222-4007-ae67-f4534e590ce9,,Saff & Co,Pria,Floral,Pagi,Santai,Pria,,Pagi / Siang,Sport / Outdoor,2,3
USER_006,44c9b673-d207-495d-9d86-1478761da491,,Lovillea,Unisex,Woody,Pagi,Santai,Unisex,,Pagi / Siang,,2,3
USER_006,1eabd500-012f-4a0e-a292-aba61e78b7ec,,Mykonos,Unisex,Woody,Pagi,Santai,Unisex,,Pagi / Siang,Sport / Outdoor,2,3
